StationId,Date,PM2.5,NO,NO2,NOx,NH3,CO,SO2,AQI,AQI_Bucket
DL013,01-11-2017,67.35,22.49,62.52,50.87,49.69,0.56,7.05,110,Moderate
DL013,02-11-2017,62.21,21.87,48.76,43.16,47.81,0.73,6,146,Moderate
DL013,03-11-2017,97.96,29.6,47.41,48.63,60.3,0.92,10,117,Moderate
DL013,04-11-2017,135.34,35.69,48.96,59.06,49.67,1.01,8.96,306,Very Poor
DL013,05-11-2017,102.1,59.95,62.2,88.76,59.49,1.27,15.37,251,Poor
DL013,06-11-2017,181.43,109.45,66.22,122.96,88.04,1.63,17.34,334,Very Poor
DL013,07-11-2017,397.79,21.19,74.12,55.97,64.87,1.76,10.37,431,Severe
DL013,08-11-2017,417.33,30.9,79.45,66.53,69.1,2.88,21.54,492,Severe
DL013,09-11-2017,325.1,34.06,80.97,69.86,67.4,1.93,19.92,512,Severe
DL013,10-11-2017,321.83,55.88,66.42,79.66,62.54,2.31,21.38,472,Severe
DL013,11-11-2017,335.36,126.43,76.94,141.64,91.38,1.69,21.7,458,Severe
DL013,12-11-2017,306.77,81.06,66.1,99.64,76.6,1.99,10.9,449,Severe
DL013,13-11-2017,159.44,58.76,67.55,82.56,71.14,1.86,10.25,384,Very Poor
DL013,14-11-2017,122.83,24.85,67.43,55.37,55.55,1.67,10.65,314,Very Poor
DL013,15-11-2017,129.62,29.75,74.38,63.79,51.42,1.24,14.76,289,Poor
DL013,16-11-2017,182.41,21.12,54.18,45.41,38.24,1,10.02,339,Very Poor
DL013,17-11-2017,145.92,21.05,52.48,44.46,36.92,0.76,6.54,334,Very Poor
DL013,18-11-2017,123.07,16.54,53.08,41.17,36.06,0.7,11.08,306,Very Poor
DL013,19-11-2017,120.11,15.32,51.97,39.61,32.67,0.71,8.86,296,Poor
DL013,20-11-2017,146.42,14.1,58.19,41.91,32.43,0.7,9.9,317,Very Poor
DL013,21-11-2017,135.62,23.71,76.37,59.16,35.26,0.89,14.88,315,Very Poor
DL013,22-11-2017,113.25,20.89,80.06,58.85,36.12,1.2,23.16,298,Poor
DL013,23-11-2017,146.81,23.98,80.88,61.76,36.5,1.38,15.25,310,Very Poor
